0    26.63720703125    -0.29631555080413818 -6.2911419868469238 4.3559942245483398 -3.4935705661773682 3.0471775531768799 0.74510073661804199 2.8536205291748047 -3.2888104915618896 -0.38466727733612061 12.262283325195312      0.095820747315883636 0.061814282089471817 0.14435896277427673 1.6987686157226562 -0.30645015835762024 1.8124848604202271 
1    27.415807723999023    -1.6826963424682617 -5.8102765083312988 6.1599388122558594 -2.3430500030517578 3.2838666439056396 0.54977238178253174 3.1772611141204834 -3.8920962810516357 1.4274882078170776 7.2697157859802246      -0.45528757572174072 -0.34555637836456299 0.14724208414554596 1.4822126626968384 0.37859630584716797 0.58967459201812744 
2    28.540695190429688    -1.5241386890411377 -8.6262054443359375 5.4484119415283203 -4.0484299659729004 3.548997163772583 -0.9312736988067627 0.83123350143432617 -3.1865274906158447 2.3589105606079102 13.445414543151855      0.032753389328718185 -0.26654890179634094 0.14857769012451172 1.4533886909484863 0.11903126537799835 1.9764046669006348 
3    27.740165710449219    -0.41380202770233154 -5.8869304656982422 3.5240352153778076 -1.9077240228652954 2.4659965038299561 3.9498414993286133 4.5310955047607422 -1.8904349803924561 -0.16276788711547852 7.7381305694580078      -0.13507013022899628 -0.50925141572952271 0.17402821779251099 1.9811822175979614 0.20982694625854492 1.4280592203140259 
4    22.912088394165039    -1.4622403383255005 -6.7387509346008301 3.3129065036773682 -2.4475903511047363 2.5991683006286621 2.8917579650878906 3.0850062370300293 -0.57864606380462646 0.10031402111053467 10.42657470703125      0.091100119054317474 0.14038746058940887 0.18346315622329712 1.9577040672302246 -0.29197627305984497 1.0679550170898438 
5    35.927043914794922    -2.1595540046691895 -9.0374660491943359 4.7643685340881348 -2.7319185733795166 2.4749281406402588 -1.2614521980285645 0.50770306587219238 -1.958568811416626 2.4460973739624023 12.626113891601562      -0.01347754243761301 -0.12408497929573059 0.14007000625133514 1.3853347301483154 0.15533372759819031 2.1888904571533203 
6    34.180931091308594    -1.9757099151611328 -7.1761898994445801 3.7148723602294922 -1.9335228204727173 1.4381297826766968 -2.6305780410766602 0.45772862434387207 -0.82592308521270752 2.9104552268981934 9.3125486373901367      -0.11318046599626541 -0.074494674801826477 0.11520081758499146 1.4461655616760254 0.19134719669818878 2.4411900043487549 
7    27.301916122436523    -0.35131353139877319 -5.9492554664611816 2.9573118686676025 -2.448859691619873 1.1466795206069946 -2.933713436126709 0.23874855041503906 -2.5417993068695068 1.6992024183273315 10.665120124816895      -0.027542483061552048 -0.050735220313072205 0.13669298589229584 1.612781286239624 -0.28078323602676392 2.2196285724639893 
8    30.932147979736328    -0.97856825590133667 -7.5522575378417969 4.2033982276916504 -1.9787653684616089 2.4069640636444092 -3.3751885890960693 -1.2927584648132324 -3.1053323745727539 1.8346849679946899 11.127066612243652      0.069965280592441559 -0.0727342888712883 0.13689278066158295 1.4284563064575195 -0.17605409026145935 2.4480922222137451 
9    29.201356887817383    -0.43044859170913696 -6.9305214881896973 3.6015641689300537 -2.5886449813842773 2.0566930770874023 -2.8593354225158691 -0.71479523181915283 -3.3860728740692139 1.2344132661819458 11.872421264648438      -0.040397245436906815 -0.11651609838008881 0.12208802998065948 1.5225225687026978 -0.35711836814880371 2.161771297454834 
10    29.158206939697266    -0.52464789152145386 -6.6001644134521484 3.5286455154418945 -2.2590005397796631 2.013761043548584 -3.4709906578063965 -0.96874117851257324 -3.6852903366088867 1.4689574241638184 10.896017074584961      -0.091129451990127563 -0.28199714422225952 0.11628847569227219 1.5058350563049316 -0.36998400092124939 2.1752581596374512 
11    31.533937454223633    -0.57951408624649048 -6.061495304107666 3.4639961719512939 -1.9545280933380127 1.915386438369751 -3.7136030197143555 -0.8168938159942627 -3.6289741992950439 1.7122571468353271 9.6049566268920898      -0.09722726047039032 -0.2986905574798584 0.1202315092086792 1.5061848163604736 -0.33630648255348206 2.2594153881072998 
12    30.79376220703125    -0.46687442064285278 -7.386713981628418 3.9589531421661377 -2.3513457775115967 2.4751331806182861 -2.813326358795166 -1.2655375003814697 -3.7434413433074951 0.85565650463104248 12.381270408630371      -0.013727861456573009 -0.12958157062530518 0.11732830107212067 1.4766063690185547 -0.3800433874130249 2.193854808807373 
13    30.808828353881836    -1.1079071760177612 -7.9312176704406738 4.3021507263183594 -2.734764575958252 2.3011033535003662 -2.7664663791656494 -0.64896488189697266 -2.5891542434692383 2.1360759735107422 12.138764381408691      -0.13133290410041809 0.034703027456998825 0.14162147045135498 1.4787145853042603 -0.038147680461406708 2.2742824554443359 
14    33.426815032958984    -1.0441550016403198 -7.4704737663269043 4.5181441307067871 -2.4620625972747803 2.2930357456207275 -2.4706096649169922 0.056928157806396484 -3.1237902641296387 2.2150020599365234 11.183029174804688      -0.10777194797992706 -0.61344748735427856 0.158591628074646 1.4402214288711548 -0.089229650795459747 1.9383165836334229 
15    34.651798248291016    -1.5192070007324219 -8.8080415725708008 4.6147441864013672 -2.2871139049530029 2.5443329811096191 -2.2000980377197266 -0.88306236267089844 -2.596973180770874 1.8686436414718628 12.768301963806152      -0.0099105006083846092 0.13706274330615997 0.15119104087352753 1.4313418865203857 0.0082013439387083054 2.4206445217132568 
