0    -0.027064435184001923 -7.4546489715576172 4.1974673271179199 -2.0568537712097168 1.6845099925994873 1.1641213893890381 1.322878360748291 -1.1935733556747437 -0.72607016563415527 6.5479836463928223  -1         0.92132788896560669 0.45075488090515137 0.67711210250854492 1 0 0.38419738411903381 1 1 0.52401185035705566 1 0.65676522254943848 0.73515534400939941 0.2714809775352478 0.87149250507354736 0.4417823851108551 0.87883877754211426 0.97834128141403198 0.59503769874572754 0.74124974012374878 0.9365200400352478 0.83555811643600464 0.64711791276931763 0.31688541173934937 0.88395470380783081 1 0.63129419088363647 0.57173281908035278 1 0.60397636890411377 0.81641477346420288 1 0.095515094697475433 0.20135821402072906 0.72233587503433228 0.30189281702041626 0.72277450561523438 
1    -0.69204616546630859 -5.8800292015075684 3.2304642200469971 -3.5523924827575684 2.0972890853881836 2.8642921447753906 3.0477297306060791 -1.3803926706314087 1.1314206123352051 9.2029571533203125  -1         1 0.57762432098388672 0.582122802734375 0.97878926992416382 0.068152531981468201 0.39266982674598694 0.91067326068878174 0.9223971962928772 0.60961788892745972 1 0.8003581166267395 0.7194175124168396 0.33150878548622131 0.96149724721908569 0.42342701554298401 0.87070047855377197 0.62813413143157959 1 0.95043504238128662 0.56321299076080322 0.36364579200744629 0.64863306283950806 0 0.56792426109313965 0.76272761821746826 0.43846669793128967 0.79326874017715454 0.96035122871398926 1 0.65715014934539795 0.92357254028320312 0.16612771153450012 0.45910176634788513 0.82217329740524292 0.46859127283096313 0.30628755688667297 
2    -0.44340243935585022 -7.3782529830932617 4.8420495986938477 -3.3627500534057617 1.303462028503418 1.92864990234375 1.1898541450500488 -0.83878707885742188 -1.4571192264556885 5.0258927345275879  -1         1 0.48748898506164551 0.41499853134155273 1 0 0.39266982674598694 1 0.92969506978988647 0.60961788892745972 1 0.85401678085327148 0.75864040851593018 0.33150878548622131 1 0.53931534290313721 0.83896487951278687 0.91518265008926392 0.88416945934295654 0.98337817192077637 0.51157933473587036 0.58145344257354736 0.71760338544845581 0.2193005383014679 0.40957552194595337 0.71536237001419067 0.34357532858848572 0.77093046903610229 0.61574375629425049 0.80801236629486084 0.85044658184051514 1 0.063391529023647308 0.51483404636383057 1 0.36399877071380615 0.57950359582901001 
3    -1.1666042804718018 -7.8043408393859863 4.3224472999572754 -2.1499941349029541 2.1764609813690186 3.2048709392547607 2.1427116394042969 -1.070428729057312 -0.36932373046875 7.3508415222167969  -1         1 0.57762432098388672 0.48246383666992188 1 0.14358596503734589 0.46124047040939331 0.98019671440124512 1 0.6118432879447937 0.95537102222442627 0.72807556390762329 0.67724347114562988 0.35573124885559082 0.99870449304580688 0.64859676361083984 1 0.73699259757995605 0.8031381368637085 0.89623767137527466 0.69583415985107422 1 0.65867310762405396 0.18581156432628632 0.5497862696647644 0.7176055908203125 0.50276714563369751 0.75299131870269775 0.474791020154953 0.92997688055038452 0.70894700288772583 1 0.036589492112398148 0.54863590002059937 0.80714470148086548 0.36399877071380615 0.58023905754089355 
4    -0.16591960191726685 -6.075526237487793 4.5419893264770508 -2.2876906394958496 1.6799943447113037 -1.4718267917633057 0.72852957248687744 -2.090355396270752 2.1438019275665283 8.4904909133911133  -1         0.76556706428527832 0.64381766319274902 0.47565343976020813 0.99157661199569702 0.22903914749622345 0.45489367842674255 0.65641695261001587 1 0.49322977662086487 0.95537102222442627 0.88175386190414429 0.58274424076080322 0.39375436305999756 0.99835717678070068 0.3835684061050415 0.85041773319244385 1 0.35348540544509888 1 1 0.65772873163223267 0.65749067068099976 0.062568105757236481 0.40463694930076599 1 0.73800241947174072 0.82351982593536377 0.96462613344192505 0.59301745891571045 0.43167600035667419 1 0.17523840069770813 0.73327618837356567 1 0.30051344633102417 0.08678542822599411 
5    -0.54545783996582031 -6.3319106101989746 2.6321046352386475 -3.2762444019317627 0.45550400018692017 1.0874494314193726 3.9845340251922607 -1.4893215894699097 0.84613573551177979 8.679234504699707  -1         0.38083100318908691 0 0.10559489578008652 0.66625833511352539 0.30112940073013306 0.40279242396354675 0.98372888565063477 0.78902024030685425 0.33849433064460754 0.59905952215194702 0.12783734500408173 0.92769491672515869 0.53095662593841553 0.60619992017745972 0.54115253686904907 0.96226459741592407 0.15756621956825256 0.5706028938293457 0.92409896850585938 1 0.46012622117996216 1 0.38905254006385803 0.42702054977416992 0.88574022054672241 0.71487128734588623 0.34488874673843384 1 0.75950729846954346 0.1763690710067749 1 0.52860003709793091 0.77250999212265015 0.98224771022796631 0.62810850143432617 0.22277028858661652 
6    -1.4963276386260986 -6.8061008453369141 3.5137431621551514 -2.4889123439788818 1.099362850189209 -0.91967195272445679 1.1931641101837158 0.34411627054214478 2.6774554252624512 8.8699312210083008  -1         1 0.044187255203723907 0.18565000593662262 0.397288978099823 0.10570377111434937 0.11069992184638977 1 0.88377904891967773 0.17619405686855316 1 0.92848742008209229 0.40012481808662415 0.55964314937591553 0.86205077171325684 0.20084799826145172 0.87489646673202515 0.85683172941207886 0.61546617746353149 1 0.99724727869033813 0.70557248592376709 1 0.30817848443984985 0.69211113452911377 1 0.57926785945892334 0.55578547716140747 1 0.97165870666503906 0.78410637378692627 0.95438367128372192 0.27849781513214111 0.55228489637374878 0.49980157613754272 0.47993087768554688 0.74283838272094727 
7    -0.41635343432426453 -6.3441009521484375 4.768280029296875 -2.4580650329589844 0.83882826566696167 -0.5793728232383728 -0.19805529713630676 -0.013299375772476196 -1.3588402271270752 3.9069242477416992  -1         1 0.5392271876335144 0.582122802734375 1 0.020209196954965591 0.48055911064147949 0.92779541015625 0.9223971962928772 0.63881093263626099 0.97570252418518066 0.81943786144256592 0.71897906064987183 0.62058621644973755 1 0.23107616603374481 0.7622336745262146 0.85163587331771851 0.86510282754898071 0.90427649021148682 0.69583415985107422 0.56669324636459351 0.69680666923522949 0.080750942230224609 0.50239098072052002 0.87349188327789307 0.43846669793128967 0.79326874017715454 0.90192461013793945 1 0.78369945287704468 1 0.11504485458135605 0.54939287900924683 0.82433819770812988 0.36379987001419067 0.26305526494979858 
8    -0.34374707937240601 -6.8507871627807617 4.3332576751708984 -2.3500251770019531 1.564810037612915 0.54463517665863037 0.85734236240386963 -1.2668662071228027 -0.73123502731323242 6.0419268608093262  -1         1 0.60276681184768677 0.582122802734375 0.98626887798309326 0 0.45939528942108154 0.95294857025146484 0.92018663883209229 0.69036304950714111 1 0.63459151983261108 1 0.21291801333427429 0.81578743457794189 0.58104205131530762 0.76334148645401001 0.93406826257705688 0.95235484838485718 0.9163287878036499 0.37652626633644104 0.39371854066848755 0.78236335515975952 0.023852871730923653 0.38474631309509277 0.76306718587875366 0.42470920085906982 0.66527295112609863 0.44215995073318481 0.7155158519744873 0.90410256385803223 1 0 0.51483404636383057 1 0.36399877071380615 0.82782810926437378 
9    -0.35814732313156128 -7.8683037757873535 4.6729946136474609 -2.8522593975067139 1.0092191696166992 0.19935543835163116 0.13735654950141907 -0.20652657747268677 -1.4456639289855957 5.5968399047851562  -1         0.92132788896560669 0.45075488090515137 0.67711210250854492 1 0 0.38419738411903381 1 0.93139117956161499 0.55606657266616821 1 0.65676522254943848 0.73515534400939941 0.2714809775352478 0.87149250507354736 0.4417823851108551 0.87883877754211426 0.79499542713165283 0.59503769874572754 0.74124974012374878 0.93389326333999634 0.83555811643600464 0.64711791276931763 0.31688541173934937 0.88395470380783081 1 0.63129419088363647 0.57173281908035278 1 0.60397636890411377 0.81641477346420288 1 0.16523808240890503 0.20135821402072906 0.72233587503433228 0.32727983593940735 0.72277450561523438 
